word,phonetic,translation,level,example,partOfSpeech,definition,synonyms,antonyms
newspaper,/ˈnjuːzˌpeɪ.pər/,报纸 ,B1,Do you read a newspaper regularly?,noun,"a regularly printed document consisting of large sheets of paper that are folded together, or a website, containing news reports, articles, photographs, and advertisements:",,
next,/nekst/,下一个,B1,Who works in the office next to yours?,"adjective, adverb",being the first one after the present one or after the one just mentioned:,,
night,/naɪt/,夜晚,B1,It gets cold at night.,noun,the part of every 24-hour period when it is dark because there is very little light from the sun:,,
nice,/naɪs/,好的 ,B1,Did you have a nice trip?,adjective,"pleasant, enjoyable, or satisfactory:",,
observation,/ˌɒb.zəˈveɪ.ʃən/,观察 ,B1,close observation of nature/human nature/animal behaviour,noun,the act of observing something or someone:,,
obtain,/əbˈteɪn/,获得,B1,to obtain permission,verb,"to get something, especially by asking for it, buying it, working for it, or producing it from something else:",,
to,/tuː/,到 ,B1,She agreed to help.,preposition,used before a verb to show that it is in the infinitive,,
observe,/əbˈzɜːv/,观察 ,B1,"The role of scientists is to observe and describe the world, not to try to control it.",verb,"to watch carefully the way something happens or the way someone does something, especially in order to learn more about it:",,
obvious,/ˈɒb.vi.əs/,明显的 ,B1,It's obvious (that) she doesn't like him.,adjective,"easy to see, recognize, or understand:",,
obviously,/ˈɒb.vi.əs.li/,明显地 ,B1,He was in tears and obviously very upset.,adverb,in a way that is easy to understand or see:,,
occasion,/əˈkeɪ.ʒən/,场合,B1,We met on several occasions to discuss the issue.,noun,"a particular time, especially when something happens or has happened:",,
occur,/əˈkɜːr/,发生 ,B1,An accident involving over ten vehicles has occurred in the east-bound lane.,verb,(especially of accidents and other unexpected events) to happen:,,
occasionally,/əˈkeɪ.ʒən.əl.i/,偶尔 ,B1,I see him occasionally in town.,adverb,sometimes but not often:,,
ocean,/ˈəʊ.ʃən/,海洋,B1,These mysterious creatures live at the bottom of the ocean.,noun,a very large area of sea:,,
October,/ɒkˈtəʊ.bər/,十月 ,B1,We have a meeting in October that you are welcome to attend.,noun,"the tenth month of the year, after September and before November:",,
clock,/klɒk/,钟 ,B1,We have an antique clock on our mantelpiece.,adverb,"a device for measuring and showing time, usually found in or on a building and not worn by a person:",,
odd,/ɒd/,奇怪的,B1,Her father was an odd man.,adjective,strange or unexpected:,,
national,/ˈnæʃ.ən.əl/,国家的 ,B1,a national holiday,adjective,"relating to or typical of a whole country and its people, rather than to part of that country or to other countries:",citizen,
native,/ˈneɪ.tɪv/,本国的 ,B1,She returned to live and work in her native Japan.,"adjective, noun",relating to or describing someone's country or place of birth or someone who was born in a particular country or place:,innate,
offence,/əˈfens/,罪行,B1,a serious/minor offence,noun,an illegal act; a crime:,,
naturally,/ˈnætʃ.ər.əl.i/,自然 ,B1,A healthy body will be able to fight off the illness naturally without the use of medicine.,adverb,happening or existing as part of nature and not made or done by people:,,
of,/əv/,的 ,B1,a friend of mine,preposition,"used to show possession, belonging, or origin:",,
off,/ɒf/,离开 ,B1,He drove off at the most incredible speed.,"adverb, preposition","away from a place or position, especially the present place, position, or time:",,
natural,/ˈnætʃ.ər.əl/,自然的,B1,a natural substance,adjective,as found in nature and not involving anything made or done by people:,,
nature,/ˈneɪ.tʃər/,自然 ,B1,her love of nature,noun,"all the animals, plants, rocks, etc. in the world and all the features, forces, and processes that happen or exist independently of people, such as the weather, the sea, mountains, the production of young animals or plants, and growth:",,
near,/nɪər/,靠近,B1,Is there a restaurant near here?,"preposition, adjective, adverb",not far away in distance:,approach,
nearly,/ˈnɪə.li/,几乎 ,B1,It's been nearly three months since my last haircut.,adverb,"almost, or not completely:",,
necessarily,/nes.əˈser.əl.i/,一定,B1,The fact that something is cheap doesn't necessarily mean it's of low quality.,adverb,"used in negatives to mean ""in every case"" or ""therefore"":",,
necessary,/ˈnes.ə.ser.i/,必要的 ,B1,He lacks the necessary skills for the job.,adjective,needed in order to achieve a particular result:,,
neat,/niːt/,整洁的 ,B1,Your house is always so neat - how do you manage it?,adjective,"tidy, with everything in its place:",,
neck,/nek/,脖子 ,B1,He had the thickest neck I'd ever seen.,noun,the part of the body that joins the head to the shoulders:,,
need,/niːd/,需要,B1,Babies need constant care.,verb,"to have to have something, or to want something very much:",,
modal,/ˈməʊ.dəl/,模态 ,B1,The first verb in the following sentence is a modal: We ought to pay the gas bill.,verb,"a verb, such as ""can"", ""might"", and ""must"", that is used with another verb to express an idea such as possibility that is not expressed by the main verb of a sentence:",,
nightmare,/ˈnaɪt.meər/,恶梦 ,B1,a terrifying nightmare,noun,a very upsetting or frightening dream:,,
needle,/ˈniː.dəl/,针 ,B1,a needle and thread,noun,"a thin metal pin, used in sewing, that is pointed at one end and has a hole called an eye at the other end for thread:",,
nobody,/ˈnəʊ.bə.di/,没有人 ,B1,Is there nobody here who can answer my question?,pronoun,not anyone:,nonentity,
no,/nəʊ/,不 ,B1,There's no butter left.,"exclam., determiner",not any; not one; not a:,,
noisy,/ˈnɔɪ.zi/,嘈杂,B1,a noisy crowd of fans,adjective,making a lot of noise:,,
negative,/ˈneɡ.ə.tɪv/,消极的,B1,We received a negative answer to our request.,adjective,"expressing ""no"":",negate,
noise,/nɔɪz/,噪音 ,B1,The noise out in the street was deafening.,noun,"a sound or sounds, especially when it is unwanted, unpleasant, or loud:",,
one,/wʌn/,一,B1,He had two slices and I only had one.,pronoun,the number 1:,,
none,/nʌn/,没有任何 ,B1,None of my children has/have blonde hair.,pronoun,"not one (of a group of people or things), or not any:",,
normal,/ˈnɔː.məl/,普通的 ,B1,a normal working day,adjective,ordinary or usual; the same as would be expected:,,
normally,/ˈnɔː.mə.li/,通常情况下,B1,Are the phones working normally again?,adverb,"If something happens normally, it happens in the usual or expected way:",,
northern,/ˈnɔː.ðən/,北方 ,B1,northern Europe,adjective,in or from the north part of an area:,,
north,/nɔːθ/,北 ,B1,"The points of the compass are north, south, east, and west.","noun, adjective, adverb","the direction that goes towards the part of the earth above the equator, opposite to the south, or the part of an area or country that is in this direction:",,
nose,/nəʊz/,鼻子,B1,a large/long/pointed nose,noun,"the part of the face that sticks out above the mouth, through which you breathe and smell:",,
not,/nɒt/,不是 ,B1,He's not fat!,adverb,"used to form a negative phrase after verbs like ""be"", ""can"", ""have"", ""will"", ""must"", etc., usually used in the short form ""n't"" in speech:",,
note,/nəʊt/,笔记 ,B1,He left a note to say he would be home late.,noun,a short piece of writing:,,
onto,/ˈɒn.tu/,到 ,B1,I slipped as I stepped onto the platform.,preposition,used to show movement into or on a particular place:,,
only,/ˈəʊn.li/,仅有的 ,B1,I was the only person on the train.,"adjective, adverb","used to show that there is a single one or very few of something, or that there are no others:",,
operate,/ˈɒp.ər.eɪt/,操作 ,B1,How do you operate the remote control unit?,verb,"to (cause to) work, be in action or have an effect:",,
nothing,/ˈnʌθ.ɪŋ/,没有什么,B1,There's nothing in the drawer - I took everything out.,pronoun,not anything:,,
opening,/ˈəʊ.pən.ɪŋ/,开场 ,B1,The children crawled through an opening in the fence.,noun,a hole or space that something or someone can pass through:,,
operation,/ˌɒp.ərˈeɪ.ʃən/,手术,B1,There are several reactors of the type in operation (= working) at the moment.,noun,the fact of operating or being active:,,
opinion,/əˈpɪn.jən/,观点 ,B1,What's your opinion about/on the matter?,noun,a thought or belief about something or someone:,,
opponent,/əˈpəʊ.nənt/,对手 ,B1,a political opponent,noun,a person who disagrees with something and speaks against it or tries to change it:,,
open,/ˈəʊ.pən/,打开,B1,an open door/window,"adjective, verb",not closed or fastened:,open-ended,
opportunity,/ˌɒp.əˈtʃuː.nə.ti/,机会,B1,Everyone will have an opportunity to comment.,noun,"an occasion or situation that makes it possible to do something that you want to do or have to do, or the possibility of doing something:",,
oppose,/əˈpəʊz/,反对 ,B1,The proposed new testing system has been vigorously opposed by teachers.,verb,"to disagree with something or someone, often by speaking or fighting against it, him, or her:",,
opposed,/əˈpəʊzd/,反对 ,B1,His view of the situation is diametrically (= very strongly) opposed to mine.,adjective,completely different:,,
opposition,/ˌɒp.əˈzɪʃ.ən/,反对 ,B1,There is a lot of opposition to the proposed changes.,noun,strong disagreement:,,
opposite,/ˈɒp.ə.zɪt/,对面的,B1,You'd never know they're sisters - they're completely opposite to each other in every way.,"adjective, adverb, preposition, noun",completely different:,face-to-face,
option,/ˈɒp.ʃən/,选项 ,B1,The best option would be to cancel the trip altogether.,noun,"one thing that can be chosen from a set of possibilities, or the freedom to make a choice:",,
offend,/əˈfend/,得罪 ,B1,I think she was offended that she hadn't been invited to the party.,verb,to make someone upset or angry:,,
or,/ɔːr/,或者,B1,Is it Tuesday or Wednesday today?,conjunction,used to connect different possibilities:,,
offensive,/əˈfen.sɪv/,进攻 ,B1,This programme contains language that some viewers might find offensive.,adjective,causing offence:,,
office,/ˈɒf.ɪs/,办公室 ,B1,the director's office,noun,"a room or part of a building in which people work, especially sitting at tables with computers, phones, etc., usually as a part of a business or other organization:",,
offer,/ˈɒf.ər/,提供,B1,I feel bad that I didn't offer them any food/offer any food to them.,"verb, noun",to ask someone if they would like to have something or if they would like you to do something:,,
officer,/ˈɒf.ɪ.sər/,官 ,B1,a naval officer,noun,a person in the armed forces who has a position of authority:,,
often,/ˈɒf.ən/,经常 ,B1,I often see him in the garden.,adverb,many times:,frequently,
oh,/əʊ/,哦 ,B1,"""He's been married three times."" ""Oh, really? I didn't know that!""",exclam.,"used to express different emotions, such as surprise, disappointment, and pleasure, often as a reaction to something someone has said:",,
official,/əˈfɪʃ.əl/,官方的,B1,He visited China in his official capacity as America's trade representative.,adjective,relating to a position of responsibility:,functionary,
oil,/ɔɪl/,油,B1,drilling for oil,noun,petroleum (= the black oil obtained from under the earth's surface from which petrol comes):,,
fashioned,/ˈfæʃ.ən/,造型 ,B1,He fashioned a hat for himself from newspaper.,adjective,"past simple and past participle of 
fashion",forge,
old,/əʊld/,老的 ,B1,an old man,adjective,having lived or existed for many years:,former,
once,/wʌns/,一次 ,B1,"I went sailing once, but I didn't like it.",adverb,one single time:,,
onion,/ˈʌn.jən/,洋葱 ,B1,I always cry when I'm chopping onions.,noun,"a vegetable with a strong smell and flavour, made up of several layers surrounding each other tightly in a round shape, usually brown or red on the outside and white inside:",,
online,/ˈɒn.laɪn/,在线的,B1,an online newspaper/magazine/dictionary,"adjective, adverb","Online products, services, or information can be bought or used on the internet:",,
notion,/ˈnəʊ.ʃən/,概念 ,B1,The show's director rejects the notion that seeing violence on television has a harmful effect on children.,noun,a belief or idea:,,
novel,/ˈnɒv.əl/,小说,B1,a paperback novel,noun,a long printed story about imaginary characters and events:,,
on,/ɒn/,在,B1,Look at all the books on your desk!,"preposition, adverb","used to show that something is in a position above something else and touching it, or that something is moving into such a position:",,
notice,/ˈnəʊ.tɪs/,注意 ,B1,I noticed a crack in the ceiling.,"verb, noun",to see or become conscious of something or someone:,,
nowhere,/ˈnəʊ.weər/,无处,B1,These young people have nowhere (else) to go.,adverb,"in, at, or to no place; not anywhere:",,
now,/naʊ/,现在 ,B1,"She used to be a teacher, but now she works in publishing.",adverb,"at the present time, not in the past or future:",,
November,/nəʊˈvem.bər/,十一月 ,B1,He's starting his new job in November.,noun,"the eleventh month of the year, after October and before December:",,
nuclear,/ˈnjuː.klɪər/,核 ,B1,nuclear energy/power,adjective,being or using the power produced when the nucleus of an atom is divided or joined to another nucleus:,,
numerous,/ˈnjuː.mə.rəs/,很多的,B1,We have discussed these plans on numerous occasions.,adjective,many:,legion,
number,/ˈnʌm.bər/,数字 ,B1,"25, 300, and a billion are all numbers.",noun,(a sign or symbol representing) a unit that forms part of the system of counting and calculating:,,
nurse,/nɜːs/,护士 ,B1,He worked as a nurse in a psychiatric hospital.,noun,"(the title given to) a person whose job is to care for people who are ill or injured, especially in a hospital:",,
obey,/əʊˈbeɪ/,服从,B1,The soldiers refused to obey (orders).,verb,"to act according to what you have been asked or ordered to do by someone in authority, or to behave according to a rule, law, or instruction:",,
nut,/nʌt/,坚果 ,B1,a Brazil/cashew nut,noun,the dry fruit of particular trees that grows in a hard shell and can often be eaten:,frog,
objective,/əbˈdʒek.tɪv/,客观的 ,B1,Her main/prime objective now is simply to stay in power.,"noun, adjective",something that you plan to do or achieve:,,
ourselves,/ˌaʊəˈselvz/,我们自己 ,B1,We went to get ourselves something to eat.,pronoun,"used when the subject of the verb is ""we"" or the speaker and one or more others, and the object is the same group of people:",,
obligation,/ˌɒb.lɪˈɡeɪ.ʃən/,义务,B1,"If you have not signed a contract, you are under no obligation to (= it is not necessary to) pay them any money.",noun,the fact that you are obliged to do something:,,
object,/ˈɒb.dʒekt/,目的 ,B1,a solid/material/physical object,noun,"a thing that you can see or touch but that is not usually a living animal, plant, or person:",,
outcome,/ˈaʊt.kʌm/,结果 ,B1,It's too early to predict the outcome of the meeting.,noun,"a result or effect of an action, situation, etc.:",,
outdoor,/ˈaʊtˌdɔːr/,户外的,B1,an outdoor swimming pool/festival,adjective,"existing, happening, or done outside, rather than inside a building:",,
outdoors,/ˌaʊtˈdɔːz/,户外 ,B1,"If the weather's good, we'll eat outdoors (= not in a building).",adverb,outside:,,
outer,/ˈaʊ.tər/,外 ,B1,outer London,adjective,at a greater distance from the centre:,,
outline,/ˈaʊt.laɪn/,大纲,B1,She drew the outline of the boat and then coloured it in.,"noun, verb","the main shape or edge of something, without any details:",,
oven,/ˈʌv.ən/,烤箱 ,B1,a conventional/gas/fan-assisted oven,noun,"the part of a cooker with a door, used to bake or roast food:",,
outside,/ˌaʊtˈsaɪd/,外部 ,B1,It was a sunny day outside.,adverb,not inside a building:,,
overall,/ˌəʊ.vəˈrɔːl/,全面的 ,B1,"The overall situation is good, despite a few minor problems.","adjective, adverb","in general rather than in particular, or including all the people or things in a particular group or situation:",,
owner,/ˈəʊ.nər/,所有者,B1,Are you the owner of this car?,noun,someone who owns something:,,
owe,/əʊ/,欠 ,B1,I owe Janet $50.,verb,"to need to pay or give something to someone because they have lent money to you, or in exchange for something they have done for you:",,
pace,/peɪs/,步伐 ,B1,a slow/fast pace,"noun, verb","the speed at which someone or something moves, or with which something happens or changes:",,
orange,/ˈɒr.ɪndʒ/,橙子 ,B1,a glass of orange juice,"noun, adjective",a round sweet fruit that has a thick orange skin and an orange centre divided into many parts:,,
over,/ˈəʊ.vər/,超过,B1,"The sign over the door said ""Exit"".","preposition, adverb","above or higher than something else, sometimes so that one thing covers the other; above:",,
ordinary,/ˈɔː.dən.əri/,普通的,B1,an ordinary neighbourhood,adjective,not different or special or unexpected in any way; usual:,,
pack,/pæk/,盒 ,B1,"We're leaving early tomorrow morning, so you'd better pack (= put clothes and other possessions into suitcases or bags) tonight.",verb,"to put something into a bag, box, etc.:",,
organ,/ˈɔː.ɡən/,器官 ,B1,an external/internal/reproductive organ,noun,a part of the body of an animal or plant that performs a particular job:,,
organization,/ˌɔː.ɡən.aɪˈzeɪ.ʃən/,组织 ,B1,the World Health Organization,noun,a group of people who work together in an organized way for a shared purpose:,,
organize,/ˈɔː.ɡən.aɪz/,组织,B1,They organized a meeting between the teachers and students.,verb,to make arrangements for something to happen:,,
order,/ˈɔː.dər/,命令 ,B1,"""Can I take your order now?"" said the waiter.","noun, verb","a request to make, supply, or deliver food or goods:",,
organized,/ˈɔː.ɡən.aɪzd/,有组织 ,B1,"The letters had been placed in organized piles, one for each letter of the alphabet.",adjective,arranged according to a particular system:,,
organizer,/ˈɔː.ɡən.aɪ.zər/,组织者 ,B1,There aren't enough seats for all the guests - I must tell the organizers.,noun,the person or group who plans and arranges an event or activity:,,
origin,/ˈɒr.ɪ.dʒɪn/,起源,B1,It's a book about the origin of the universe.,noun,the beginning or cause of something:,,
originally,/əˈrɪdʒ.ən.əl.i/,起初 ,B1,"Originally it was a bedroom, but we turned it into a study.",adverb,first of all:,,
modal,/ˈməʊ.dəl/,模态 ,B1,The first verb in the following sentence is a modal: We ought to pay the gas bill.,verb,"a verb, such as ""can"", ""might"", and ""must"", that is used with another verb to express an idea such as possibility that is not expressed by the main verb of a sentence:",,
otherwise,/ˈʌð.ə.waɪz/,否则,B1,"I'd better write it down, otherwise I'll forget it.",adverb,used after an order or suggestion to show what the result will be if you do not follow that order or suggestion:,,
original,/əˈrɪdʒ.ən.əl/,原来的 ,B1,Is this the original fireplace?,adjective,"existing since the beginning, or being the earliest form of something:",,
our,/aʊər/,我们的 ,B1,We bought our house several years ago.,determiner,of or belonging to us:,,
ours,/aʊəz/,我们的,B1,Which table is ours?,pronoun,the one(s) belonging to or connected with the person who is speaking and one or more other people:,,
painful,/ˈpeɪn.fəl/,痛苦,B1,The old photograph brought back painful memories.,adjective,causing emotional or physical pain:,,painless
pain,/peɪn/,疼痛 ,B1,Her symptoms included abdominal pain and vomiting.,noun,a feeling of physical suffering caused by injury or illness:,,
page,/peɪdʒ/,页 ,B1,"For details on how to enter the competition, see page 134.",noun,"a side of one of the pieces of paper in a book, newspaper, or magazine, usually with a number printed on it:",,
painting,/ˈpeɪn.tɪŋ/,绘画,B1,The walls are covered in oil paintings.,noun,a picture made using paint:,,
paint,/peɪnt/,画 ,B1,a tin of paint,"verb, noun",a coloured liquid that is put on a surface such as a wall to decorate it:,,
painter,/ˈpeɪn.tər/,画家 ,B1,This is an example sentence using the word 'painter'.,noun,someone who paints pictures,,
pair,/peər/,一对 ,B1,I need a new pair of shoes/gloves.,noun,"two things of the same appearance and size that are intended to be used together, or something that consists of two parts joined together:",,
palace,/ˈpæl.ɪs/,宫殿 ,B1,a royal/presidential palace,noun,"a large house that is the official home of a king, queen, or other person of high social rank:",,
pale,/peɪl/,苍白,B1,You're looking pale - are you feeling well?,adjective,"used to describe a person's face or skin if it has less colour than usual, for example when the person is or ill or frightened, or if it has less colour than people generally have:",,
pan,/pæn/,平底锅 ,B1,Heat the milk in a small pan.,noun,"a metal container that is round and often has a long handle and a lid, used for cooking things on top of a cooker:",,
pants,/pænts/,裤子,B1,a pair of pants,noun,a piece of underwear covering the area between the waist and the tops of the legs,,
paragraph,/ˈpær.ə.ɡrɑːf/,段落 ,B1,"Specialized pieces of punctuation, such as cedillas, umlauts or paragraph symbols cannot be found on a computer keyboard.",noun,"a short part of a text, consisting of at least one sentence and beginning on a new line. It usually deals with a single event, description, idea, etc.:",,
parent,/ˈpeə.rənt/,父母,B1,I'm going to meet Richard's parents for the first time this weekend.,noun,"a mother or father of a person or an animal, or someone who looks after a person in the same way that a parent does:",,
paper,/ˈpeɪ.pər/,纸 ,B1,a piece/sheet of paper,noun,"thin, flat material made from crushed wood or cloth, used for writing, printing, or drawing on:",,
park,/pɑːk/,公园 ,B1,Central Park,"noun, verb","a large area of land with grass and trees, usually surrounded by fences or walls, and specially arranged so that people can walk in it for pleasure or children can play in it:",,
parking,/ˈpɑː.kɪŋ/,停車處 ,B1,a parking place/space,noun,leaving a vehicle in a particular place for a period of time:,,
participant,/pɑːˈtɪs.ɪ.pənt/,参与者 ,B1,Participants in the experiment also keep track of what they eat and drink over three days so their eating habits can be evaluated.,noun,a person who takes part in or becomes involved in a particular activity,,
participate,/pɑːˈtɪs.ɪ.peɪt/,参加,B1,"She never participates in any of our discussions, does she?",verb,to take part in or become involved in an activity:,,
particularly,/pəˈtɪk.jə.lə.li/,特别 ,B1,We're particularly interested to hear from people who speak two or more European languages.,adverb,"especially, or more than usual:",,
partly,/ˈpɑːt.li/,部分,B1,His attractiveness is partly due to his self-confidence.,adverb,"to some degree, but not completely:",,
particular,/pəˈtɪk.jə.lər/,特别的 ,B1,She wanted a particular type of cactus.,adjective,"special, or this and not any other:",,
part,/pɑːt/,部分 ,B1,Part of my steak isn't cooked properly.,noun,some but not all of a thing:,"partial,role (ACTING)",
panel,/ˈpæn.əl/,控制板 ,B1,The competition will be judged by a panel of experts.,noun,"a small group of people chosen to give advice, make a decision, or publicly discuss their opinions as entertainment:",,
partner,/ˈpɑːt.nər/,伙伴 ,B1,He gave up his job as a police officer after his partner was killed.,noun,a person or organization you are closely involved with in some way:,,
party,/ˈpɑː.ti/,派对 ,B1,a birthday party,noun,"a social event at which a group of people meet to talk, eat, drink, dance, etc., often in order to celebrate a special occasion:",,
parliament,/ˈpɑː.lɪ.mənt/,议会,B1,On Tuesday the country's parliament voted to establish its own army.,noun,"in some countries, the group of (usually) elected politicians or other people who make the laws for their country:",,
passion,/ˈpæʃ.ən/,热情,B1,Football arouses a good deal of passion among its fans.,noun,"a very powerful feeling, for example of sexual attraction, love, hate, anger, or other emotion:",,
passport,/ˈpɑːs.pɔːt/,护照 ,B1,Many refugees have arrived at the border without passports.,noun,an official document containing personal information and usually a photograph that allows a person to travel to foreign countries and to prove who they are:,,
pass,/pɑːs/,经过,B1,I passed him on the stairs this morning.,verb,"to go past something or someone or move in relation to it, him, or her:",,
passenger,/ˈpæs.ən.dʒər/,乘客 ,B1,airline/rail/train/car passengers,noun,"a person who is travelling in a vehicle but is not driving it, flying it, or working on it:",,
passage,/ˈpæs.ɪdʒ/,通道 ,B1,A narrow passage led directly through the house into the garden.,noun,"a usually long and narrow part of a building with rooms on one or both sides, or a covered path that connects places:",,
path,/pɑːθ/,小路,B1,a garden path,noun,"a route or track between one place and another, or the direction in which something is moving:",,
past,/pɑːst/,过去的 ,B1,"I live on Station Road, just past the post office.","adjective, noun, preposition",in or to a position that is further than a particular point:,past tense,
patient,/ˈpeɪ.ʃənt/,病人 ,B1,I'm a patient of Dr Stephens; please could I make an appointment to see her?,noun,"a person who is receiving medical care, or who is cared for by a particular doctor or dentist when necessary:",,
peace,/piːs/,和平 ,B1,peace talks/proposals,noun,"freedom from war and violence, especially when people live and work together happily without disagreements:",,
peaceful,/ˈpiːs.fəl/,和平,B1,peaceful demonstrators,adjective,without violence:,,peaceless
payment,/ˈpeɪ.mənt/,支付 ,B1,Usually we ask for payment on receipt of the goods.,noun,an amount of money paid:,,
pattern,/ˈpæt.ən/,图案 ,B1,The pattern of family life has been changing over recent years.,noun,"a particular way in which something is done, is organized, or happens:",sample (SMALL AMOUNT),
pay,/peɪ/,支付,B1,How much did you pay for the tickets?,verb,to give money to someone for something you want to buy or for services provided:,,
pen,/pen/,笔 ,B1,a fountain/ballpoint/felt-tip pen,noun,"a long, thin object used for writing or drawing with ink:",,
pencil,/ˈpen.səl/,铅笔 ,B1,a box of coloured pencils,noun,"a long, thin object, usually made of wood, for writing or drawing, with a sharp black or coloured point at one end:",,
penny,/ˈpen.i/,一分钱,B1,Could you lend me 50 pence/50p please?,noun,"the smallest unit of money in the UK, of which there are 100 in a pound, or a small coin worth this much. You use ""pence"" or, more informally, ""p"" when you are talking about the units of money and pennies when you are talking about the coins themselves:",,
1,/ˌtuːˈwʌn/,1 ,B1,This is an example sentence using the word '1'.,noun,a degree qualification from a British university that is below a first and above a 2:2,,
pepper,/ˈpep.ər/,胡椒,B1,freshly ground black pepper,noun,"a grey or white powder produced by crushing dry peppercorns, used to give a spicy, hot taste to food:",,
people,/ˈpiː.pəl/,人们 ,B1,Many people never do any exercise.,noun,"men, women, and children:",,
perspective,/pəˈspek.tɪv/,看法 ,B1,Her attitude lends a fresh perspective to the subject.,noun,a particular way of considering something:,,
persuade,/pəˈsweɪd/,说服 ,B1,"If she doesn't want to go, nothing you can say will persuade her.",verb,to make someone do or believe something by giving them a good reason to do it or by talking to that person and making them believe it:,talk someone into something,
pet,/pet/,宠物,B1,"They have several pets: a dog, two rabbits, and a guinea pig.",noun,"an animal that you keep in your home, for pleasure rather than for work or food:",,
petrol,/ˈpet.rəl/,汽油 ,B1,a petrol tank/pump/station,noun,"a liquid obtained from petroleum, used especially as a fuel for cars and other vehicles:",,
phase,/feɪz/,阶段 ,B1,"The project is only in its initial phase as yet, but it's looking quite promising.",noun,any stage in a series of events or in a process of development:,,
phenomenon,/fəˈnɒm.ɪ.nən/,现象,B1,Gravity is a natural phenomenon.,noun,"something that exists and can be seen, felt, tasted, etc., especially something unusual or interesting:",,
philosophy,/fɪˈlɒs.ə.fi/,哲学 ,B1,René Descartes is regarded as the founder of modern philosophy.,noun,"the use of reason in understanding such things as the nature of the real world and existence, the use and limits of knowledge, and the principles of moral judgment:",,
photo,/ˈfəʊ.təʊ/,照片,B1,She took lots of photos of the kids.,noun,a photograph:,,
phone,/fəʊn/,电话 ,B1,"Just then, his phone rang.","noun, verb",a device that uses either a system of wires along which electrical signals are sent or a system of radio signals to make it possible for you to speak to someone in another place who has a similar device:,,
photographer,/fəˈtɒɡ.rə.fər/,摄影师 ,B1,a fashion/press/amateur photographer,noun,"a person who takes photographs, either as a job or hobby:",,
photograph,/ˈfəʊ.tə.ɡrɑːf/,照片 ,B1,a colour/black-and-white photograph,noun,a picture produced using a camera:,snap (PHOTOGRAPH),
photography,/fəˈtɒɡ.rə.fi/,摄影,B1,She's taking an evening class in photography.,noun,the activity or job of taking photographs or filming:,,
phrase,/freɪz/,短语 ,B1,"We are governed, in Lord Hailsham's famous phrase, by an ""elective dictatorship"".",noun,"a group of words that is part of, rather than the whole of, a sentence","expression (WORDS),word",
physical,/ˈfɪz.ɪ.kəl/,身体的 ,B1,physical exercise/fitness/strength/disabilities,adjective,relating to the body:,,
per,/pɜːr/,每 ,B1,The meal will cost $20 per person.,preposition,"used when expressing rates, prices, or measurements to mean ""for each"":",,
physics,/ˈfɪz.ɪks/,物理,B1,nuclear physics,noun,the scientific study of matter and energy and the effect that they have on each other:,,
percentage,/pəˈsen.tɪdʒ/,百分比 ,B1,What percentage of women return to work after having a baby?,noun,"an amount of something, often expressed as a number out of 100:",,
perfectly,/ˈpɜː.fekt.li/,完美 ,B1,"The jacket fits perfectly, the skirt not so well.",adverb,in a perfect way:,,
perfect,/ˈpɜː.fekt/,完美的,B1,a perfect day,adjective,"complete and correct in every way, of the best possible type or without fault:",hone,
perform,/pəˈfɔːm/,履行 ,B1,Computers can perform a variety of tasks.,verb,to do an action or piece of work:,,
performance,/pəˈfɔː.məns/,表现,B1,He was an experienced player who was always seeking to improve his performance.,noun,"how well a person, machine, etc. does a piece of work or an activity:",,
perhaps,/pəˈhæps/,也许 ,B1,He hasn't written to me recently - perhaps he's lost my address.,adverb,used to show that something is possible or that you are not certain about something:,,
period,/ˈpɪə.ri.əd/,时期 ,B1,Her work means that she spends long periods away from home.,noun,a length of time:,,
permission,/pəˈmɪʃ.ən/,允许 ,B1,You will need permission from your parents to go on the trip.,noun,"If someone is given permission to do something, they are allowed to do it:",,
permit,/pəˈmɪt/,允许 ,B1,The regulations do not permit much flexibility.,"verb, noun",to allow something:,,
permanent,/ˈpɜː.mə.nənt/,永恒的,B1,She is looking for a permanent place to stay.,adjective,lasting for a long time or for ever:,,
person,/ˈpɜː.sən/,人,B1,Who was the first person to swim the English Channel?,noun,"a man, woman, or child:",,
personal,/ˈpɜː.sən.əl/,个人的 ,B1,My personal opinion/view is that the students should be doing more work outside the classroom.,adjective,relating or belonging to a single or particular person rather than to a group or an organization:,,
personally,/ˈpɜː.sən.əl.i/,亲自,B1,"Personally (speaking), I think the show is going to be a great success.",adverb,used when you give your opinion:,,
personality,/ˌpɜː.sənˈæl.ə.ti/,性格 ,B1,She has a very warm personality.,noun,"the type of person you are, shown by the way you behave, feel, and think:",,
piano,/piˈæn.əʊ/,钢琴 ,B1,We're buying a new piano.,noun,a large musical instrument with a row of black and white keys that are pressed to play notes:,,
pick,/pɪk/,挑选 ,B1,Pick a card from the pack.,verb,to take some things and leave others:,"plectrum,screen",
picture,/ˈpɪk.tʃər/,图片,B1,Freddy drew/painted a picture of my dog.,noun,"a drawing, painting, photograph, etc.:",,
piece,/piːs/,片 ,B1,a piece of cloth torn from her coat,noun,a part of something:,,
pig,/pɪɡ/,猪 ,B1,"The meat produced from a pig is called pork, bacon, or ham.",noun,"a large pink, brown, or black farm animal with short legs and a curved tail, kept for its meat:",,
pile,/paɪl/,桩,B1,a pile of books,"noun, verb",objects positioned one on top of another:,,
